student_no,programme,gpa,quiz_score,assignment_score,attendance,engagement_score,semester,course_name,financial_status
KGL1309,Engineering,2.11,49,52,55.5,59.0,Semester 2,Web Development,Stable
KGL1310,Engineering,3.05,73,80,78.0,72.6,Semester 1,Database Systems,Stable
KGL1311,Engineering,2.44,66,57,68.4,47.5,Semester 2,Machine Learning,Stable
KGL1312,Engineering,2.61,67,68,66.6,59.2,Semester 1,Database Systems,Scholarship
KGL1313,Engineering,2.72,68,69,67.4,72.5,Semester 2,Data Structures,Stable
KGL1314,Engineering,2.64,59,75,57.1,75.3,Semester 1,Mathematics & Statistics,Scholarship
KGL1315,Engineering,2.69,71,65,70.2,81.2,Semester 2,Data Structures,Stable
KGL1316,Engineering,3.33,77,91,95.4,87.0,Semester 1,Introduction to Programming,Stable
KGL1317,Engineering,3.11,83,78,81.2,71.9,Semester 2,Web Development,Stable
KGL1318,Engineering,2.71,63,69,73.7,72.9,Semester 1,Mathematics & Statistics,Stable
KGL1319,Engineering,2.45,56,63,50.5,61.8,Semester 2,Web Development,Under Review
KGL1320,Engineering,3.07,67,84,78.7,74.8,Semester 1,Database Systems,Stable
KGL1321,Engineering,3.2,75,79,89.2,87.9,Semester 2,Web Development,Stable
KGL1322,Engineering,3.09,71,80,86.1,95.5,Semester 1,Introduction to Programming,Stable
KGL1323,Engineering,1.99,43,53,52.6,53.5,Semester 2,Data Structures,Stable
KGL1324,Engineering,1.73,41,43,40.8,51.8,Semester 1,Mathematics & Statistics,Stable
KGL1325,Engineering,3.55,82,94,90.9,89.4,Semester 2,Data Structures,Stable
KGL1326,Engineering,2.45,61,62,61.4,57.9,Semester 1,Database Systems,Scholarship
KGL1327,Engineering,0.93,28,19,40.0,34.9,Semester 2,Web Development,Stable
KGL1328,Engineering,3.12,82,77,72.7,70.2,Semester 1,Introduction to Programming,Stable
KGL1329,Engineering,1.96,41,51,49.5,62.5,Semester 2,Machine Learning,Stable
KGL1330,Engineering,2.56,71,61,64.1,62.4,Semester 1,Introduction to Programming,Stable
KGL1331,Engineering,1.59,47,35,48.3,34.5,Semester 2,Web Development,Stable
KGL1332,Engineering,2.28,62,53,59.8,57.2,Semester 1,Database Systems,Stable
KGL1333,Engineering,3.32,90,81,83.2,82.3,Semester 2,Machine Learning,Scholarship
KGL1334,Engineering,3.61,83,95,89.0,88.0,Semester 1,Mathematics & Statistics,Under Review
KGL1335,Engineering,2.6,61,66,55.8,66.2,Semester 2,Web Development,Stable
KGL1336,Engineering,2.87,76,69,61.6,70.7,Semester 1,Introduction to Programming,Stable
KGL1337,Engineering,1.91,49,43,52.0,40.3,Semester 2,Data Structures,Stable
KGL1338,Engineering,1.19,24,27,40.0,47.6,Semester 1,Introduction to Programming,Scholarship
KGL1339,Engineering,2.0,35,60,56.7,61.6,Semester 2,Web Development,Scholarship
KGL1340,Engineering,2.28,58,52,56.2,59.0,Semester 1,Database Systems,Stable
KGL1341,Engineering,2.63,61,63,62.9,65.7,Semester 2,Web Development,Stable
KGL1342,Engineering,2.92,69,74,67.9,74.6,Semester 1,Mathematics & Statistics,Stable
KGL1343,Engineering,2.75,67,67,77.4,72.4,Semester 2,Machine Learning,Stable
KGL1344,Engineering,2.92,79,67,64.4,62.2,Semester 1,Database Systems,Stable
KGL1345,Engineering,3.03,72,75,79.9,79.1,Semester 2,Machine Learning,Stable
KGL1346,Engineering,2.4,62,57,57.4,53.2,Semester 1,Introduction to Programming,Scholarship
KGL1347,Engineering,3.55,77,95,91.6,95.7,Semester 2,Data Structures,Stable
KGL1348,Engineering,2.87,75,66,71.0,74.8,Semester 1,Mathematics & Statistics,Scholarship
KGL1349,Engineering,3.16,87,76,78.0,77.4,Semester 2,Web Development,Stable
KGL1350,Engineering,2.48,52,69,63.7,62.1,Semester 1,Mathematics & Statistics,Stable
KGL1351,Engineering,2.33,66,52,51.4,44.8,Semester 2,Machine Learning,Scholarship
KGL1352,Engineering,2.95,63,80,76.0,73.8,Semester 1,Introduction to Programming,Stable
KGL1353,Engineering,2.15,46,57,51.7,56.3,Semester 2,Machine Learning,Stable
KGL1354,Engineering,2.67,59,70,68.2,70.1,Semester 1,Introduction to Programming,Stable
KGL1355,Engineering,2.71,61,70,66.3,82.2,Semester 2,Web Development,Stable
KGL1356,Engineering,2.47,63,61,69.1,62.6,Semester 1,Database Systems,Stable
KGL1357,Engineering,2.36,42,69,64.7,56.8,Semester 2,Machine Learning,Under Review
KGL1358,Engineering,2.43,59,61,56.9,61.8,Semester 1,Mathematics & Statistics,Under Review
KGL1359,Engineering,3.45,80,89,91.9,88.6,Semester 2,Machine Learning,Stable
KGL1360,Engineering,2.39,58,59,47.9,58.0,Semester 1,Introduction to Programming,Stable
KGL1361,Engineering,3.29,85,78,87.1,87.7,Semester 2,Machine Learning,Stable
KGL1362,Engineering,2.24,52,58,57.2,50.8,Semester 1,Introduction to Programming,Stable
KGL1363,Engineering,1.24,27,32,40.0,31.0,Semester 2,Web Development,Stable
KGL1364,Engineering,2.36,59,58,63.3,64.1,Semester 1,Mathematics & Statistics,Stable
KGL1365,Engineering,2.23,49,60,65.1,60.9,Semester 2,Web Development,Under Review
KGL1366,Engineering,2.4,69,53,61.7,63.4,Semester 1,Database Systems,Stable
KGL1367,Engineering,2.51,61,61,75.8,64.4,Semester 2,Web Development,Stable
KGL1368,Engineering,2.21,44,58,45.8,61.5,Semester 1,Introduction to Programming,Stable
KGL1369,Engineering,3.23,73,85,81.9,87.4,Semester 2,Data Structures,Stable
KGL1370,Engineering,3.09,84,71,73.1,77.4,Semester 1,Database Systems,Stable
KGL1371,Engineering,2.51,45,70,64.8,70.6,Semester 2,Machine Learning,Under Review
KGL1372,Engineering,2.93,74,72,73.8,80.7,Semester 1,Mathematics & Statistics,Stable
KGL1373,Engineering,3.67,82,96,92.7,100.0,Semester 2,Data Structures,Stable
KGL1374,Engineering,2.69,59,73,63.9,65.5,Semester 1,Introduction to Programming,Stable
KGL1375,Engineering,1.73,46,41,50.7,34.5,Semester 2,Machine Learning,Stable
KGL1376,Engineering,3.36,80,82,83.7,88.6,Semester 1,Mathematics & Statistics,Stable
KGL1377,Engineering,3.73,85,100,98.3,97.9,Semester 2,Machine Learning,Stable
KGL1378,Engineering,3.08,71,77,74.8,86.4,Semester 1,Introduction to Programming,Stable
KGL1379,Engineering,2.56,66,62,70.7,62.7,Semester 2,Web Development,Stable
KGL1380,Engineering,3.32,80,83,89.5,85.6,Semester 1,Database Systems,Scholarship
KGL1381,Engineering,3.76,87,95,93.5,100.0,Semester 2,Machine Learning,Stable
KGL1382,Engineering,3.08,79,71,77.1,82.9,Semester 1,Mathematics & Statistics,Stable
KGL1383,Engineering,1.76,38,45,41.2,64.1,Semester 2,Web Development,Scholarship
KGL1384,Engineering,1.65,38,43,51.3,31.5,Semester 1,Mathematics & Statistics,Stable
KGL1385,Engineering,2.91,67,75,68.0,64.7,Semester 2,Machine Learning,Stable
KGL1386,Engineering,2.76,64,70,71.2,63.6,Semester 1,Introduction to Programming,Scholarship
KGL1387,Engineering,2.69,57,67,68.4,78.7,Semester 2,Data Structures,Scholarship
KGL1388,Engineering,2.53,62,64,57.9,62.7,Semester 1,Mathematics & Statistics,Stable
KGL1389,Engineering,2.91,73,75,80.1,74.7,Semester 2,Machine Learning,Stable
KGL1390,Engineering,2.65,73,59,64.6,73.7,Semester 1,Introduction to Programming,Under Review
KGL1391,Engineering,2.96,77,77,62.2,58.7,Semester 2,Data Structures,Under Review
KGL1392,Engineering,2.8,76,67,70.2,64.2,Semester 1,Database Systems,Stable
KGL1393,Engineering,2.23,57,56,57.5,52.6,Semester 2,Machine Learning,Stable
KGL1394,Engineering,2.88,65,77,77.8,65.5,Semester 1,Database Systems,Stable
KGL1395,Engineering,1.79,48,41,52.9,55.0,Semester 2,Machine Learning,Stable
KGL1396,Engineering,2.4,50,63,56.8,64.9,Semester 1,Database Systems,Stable
KGL1397,Engineering,3.59,85,95,84.8,83.9,Semester 2,Data Structures,Stable
KGL1398,Engineering,2.59,74,57,62.5,64.5,Semester 1,Introduction to Programming,Stable
KGL1399,Engineering,2.31,60,54,52.7,61.0,Semester 2,Web Development,Stable
KGL1400,Engineering,2.4,59,67,66.4,55.3,Semester 1,Mathematics & Statistics,Scholarship
KGL1401,Engineering,1.85,53,43,57.4,39.9,Semester 2,Machine Learning,Stable
KGL1402,Engineering,2.25,49,55,55.6,70.2,Semester 1,Introduction to Programming,Stable
KGL1403,Engineering,3.83,88,100,90.1,95.4,Semester 2,Data Structures,Stable
KGL1404,Engineering,2.33,54,62,62.8,59.0,Semester 1,Mathematics & Statistics,Scholarship
KGL1405,Engineering,2.72,63,68,81.1,74.5,Semester 2,Data Structures,Under Review
KGL1406,Engineering,2.57,65,63,60.7,72.2,Semester 1,Introduction to Programming,Stable
KGL1407,Engineering,3.19,82,77,83.6,72.8,Semester 2,Data Structures,Stable
KGL1408,Engineering,2.2,52,56,56.4,61.9,Semester 1,Database Systems,Stable
KGL1409,Engineering,3.41,87,85,81.7,90.1,Semester 2,Machine Learning,Stable
KGL1410,Engineering,2.87,70,74,63.4,77.1,Semester 1,Database Systems,Stable
KGL1411,Engineering,3.27,84,78,79.4,89.5,Semester 2,Web Development,Stable
KGL1412,Engineering,2.63,71,60,69.2,67.3,Semester 1,Database Systems,Scholarship
KGL1413,Engineering,2.63,63,67,56.1,74.5,Semester 2,Data Structures,Stable
KGL1414,Engineering,2.69,51,79,73.9,75.4,Semester 1,Database Systems,Under Review
KGL1415,Engineering,3.01,84,69,75.2,68.9,Semester 2,Web Development,Stable
KGL1416,Engineering,2.84,71,68,70.4,74.4,Semester 1,Mathematics & Statistics,Scholarship
KGL1417,Engineering,2.85,74,67,59.9,69.4,Semester 2,Machine Learning,Scholarship
KGL1418,Engineering,2.52,68,62,61.2,58.3,Semester 1,Database Systems,Scholarship
KGL1419,Engineering,2.23,57,54,56.5,62.0,Semester 2,Machine Learning,Stable
KGL1420,Engineering,3.57,82,93,91.8,94.7,Semester 1,Mathematics & Statistics,Stable
KGL1421,Engineering,2.39,57,64,62.7,53.8,Semester 2,Data Structures,Stable
KGL1422,Engineering,2.29,47,67,54.9,68.7,Semester 1,Mathematics & Statistics,Scholarship
KGL1423,Engineering,2.99,59,80,69.5,81.7,Semester 2,Data Structures,Scholarship
KGL1424,Engineering,1.52,41,34,41.6,39.2,Semester 1,Mathematics & Statistics,Stable
KGL1425,Engineering,2.55,62,62,62.8,68.3,Semester 2,Data Structures,Scholarship
KGL1426,Engineering,3.4,86,86,92.1,83.8,Semester 1,Database Systems,Scholarship
KGL1427,Engineering,2.73,69,65,68.3,70.0,Semester 2,Web Development,Stable
KGL1428,Engineering,2.36,65,53,46.4,52.7,Semester 1,Mathematics & Statistics,Scholarship
KGL1429,Engineering,2.47,68,54,66.8,65.0,Semester 2,Web Development,Stable
KGL1430,Engineering,2.52,64,59,61.3,56.6,Semester 1,Mathematics & Statistics,Stable
KGL1431,Engineering,2.71,61,70,59.5,80.4,Semester 2,Machine Learning,Stable
KGL1432,Engineering,2.29,61,55,68.4,59.7,Semester 1,Mathematics & Statistics,Scholarship
KGL1433,Engineering,2.08,47,50,48.0,52.2,Semester 2,Web Development,Stable
KGL1434,Engineering,2.73,73,66,66.8,72.0,Semester 1,Introduction to Programming,Scholarship
KGL1435,Engineering,2.01,50,53,60.3,53.0,Semester 2,Data Structures,Stable
KGL1436,Engineering,2.76,75,64,66.4,68.0,Semester 1,Mathematics & Statistics,Under Review
KGL1437,Engineering,2.85,75,73,68.0,59.3,Semester 2,Web Development,Under Review
KGL1438,Engineering,2.36,70,51,58.8,47.2,Semester 1,Database Systems,Stable
KGL1439,Engineering,3.45,89,82,81.5,91.2,Semester 2,Machine Learning,Stable
KGL1440,Engineering,3.03,67,79,70.1,78.9,Semester 1,Database Systems,Scholarship
KGL1441,Engineering,3.19,78,80,76.4,80.2,Semester 2,Machine Learning,Stable
KGL1442,Engineering,2.68,59,69,63.5,65.9,Semester 1,Introduction to Programming,Stable
KGL1443,Engineering,3.09,73,76,75.2,76.1,Semester 2,Web Development,Scholarship
KGL1444,Engineering,3.12,79,73,74.6,76.3,Semester 1,Mathematics & Statistics,Scholarship
KGL1445,Engineering,2.91,67,77,73.8,71.3,Semester 2,Web Development,Stable
KGL1446,Engineering,2.6,69,60,62.3,75.8,Semester 1,Mathematics & Statistics,Stable
KGL1447,Engineering,3.29,86,80,84.4,82.8,Semester 2,Web Development,Scholarship
KGL1448,Engineering,1.8,47,42,40.0,52.8,Semester 1,Introduction to Programming,Stable
KGL1449,Engineering,3.01,81,72,65.3,69.5,Semester 2,Data Structures,Stable
KGL1450,Engineering,3.12,64,85,84.7,84.7,Semester 1,Database Systems,Scholarship
KGL1451,Engineering,3.85,100,97,91.6,97.5,Semester 2,Data Structures,Stable
KGL1452,Engineering,2.88,65,74,65.7,83.8,Semester 1,Database Systems,Under Review
KGL1453,Engineering,2.29,65,49,53.5,54.1,Semester 2,Data Structures,Stable
KGL1454,Engineering,2.35,53,62,51.7,63.8,Semester 1,Database Systems,Stable
KGL1455,Engineering,1.87,37,47,46.4,46.9,Semester 2,Machine Learning,Under Review
KGL1456,Engineering,3.43,79,89,92.4,93.9,Semester 1,Database Systems,Stable
KGL1457,Engineering,2.07,53,48,54.0,56.7,Semester 2,Web Development,Stable
KGL1458,Engineering,4.0,100,100,99.5,100.0,Semester 1,Introduction to Programming,Under Review
KGL1459,Engineering,2.73,72,68,67.9,68.3,Semester 2,Data Structures,Under Review
KGL1460,Engineering,2.21,53,55,63.8,63.1,Semester 1,Mathematics & Statistics,Scholarship
KGL1461,Engineering,2.04,54,45,42.1,53.5,Semester 2,Data Structures,Stable
KGL1462,Engineering,2.89,71,76,69.3,74.1,Semester 1,Introduction to Programming,Stable
KGL1463,Engineering,3.44,77,91,79.5,86.9,Semester 2,Data Structures,Scholarship
KGL1464,Engineering,2.6,75,62,71.5,53.8,Semester 1,Mathematics & Statistics,Stable
KGL1465,Engineering,3.49,84,91,94.7,92.7,Semester 2,Data Structures,Stable
KGL1466,Engineering,1.27,26,38,40.0,31.3,Semester 1,Introduction to Programming,Stable
KGL1467,Engineering,2.72,72,65,66.5,69.4,Semester 2,Machine Learning,Stable
KGL1468,Engineering,3.33,77,85,84.0,81.8,Semester 1,Mathematics & Statistics,Stable
KGL1469,Engineering,3.21,91,76,85.2,80.3,Semester 2,Data Structures,Stable
KGL1470,Engineering,3.44,83,90,88.2,90.4,Semester 1,Introduction to Programming,Under Review
KGL1471,Engineering,2.75,63,74,65.8,69.2,Semester 2,Machine Learning,Scholarship
KGL1472,Engineering,3.17,68,84,75.8,87.2,Semester 1,Mathematics & Statistics,Stable
KGL1473,Engineering,2.49,59,61,67.7,70.9,Semester 2,Data Structures,Stable
KGL1474,Engineering,3.61,90,91,94.2,88.2,Semester 1,Database Systems,Stable
KGL1475,Engineering,3.07,71,83,78.0,78.1,Semester 2,Data Structures,Under Review
KGL1476,Engineering,2.72,76,66,72.1,52.1,Semester 1,Mathematics & Statistics,Stable
KGL1477,Engineering,2.93,80,72,78.9,59.5,Semester 2,Web Development,Stable
KGL1478,Engineering,2.52,55,70,64.1,56.9,Semester 1,Database Systems,Stable
KGL1479,Engineering,2.85,76,67,72.5,66.3,Semester 2,Web Development,Stable
KGL1480,Engineering,2.83,73,68,74.7,66.4,Semester 1,Mathematics & Statistics,Stable
KGL1481,Engineering,2.23,52,56,52.1,54.6,Semester 2,Data Structures,Stable
KGL1482,Engineering,2.63,68,61,64.4,65.4,Semester 1,Database Systems,Stable
KGL1483,Engineering,2.09,59,46,47.3,50.3,Semester 2,Machine Learning,Stable
KGL1484,Engineering,2.07,49,54,56.9,58.0,Semester 1,Mathematics & Statistics,Stable
KGL1485,Engineering,2.87,70,71,79.2,75.7,Semester 2,Web Development,Stable
KGL1486,Engineering,2.19,61,56,56.4,52.0,Semester 1,Mathematics & Statistics,Stable
KGL1487,Engineering,2.79,60,74,71.3,64.1,Semester 2,Web Development,Under Review
KGL1488,Engineering,2.32,64,57,63.0,54.2,Semester 1,Database Systems,Stable
KGL1489,Engineering,3.24,79,82,74.0,84.7,Semester 2,Data Structures,Stable
KGL1490,Engineering,3.01,65,76,75.3,73.7,Semester 1,Database Systems,Stable
KGL1491,Engineering,2.64,64,70,61.9,60.7,Semester 2,Web Development,Stable
KGL1492,Engineering,3.41,83,90,83.8,77.0,Semester 1,Introduction to Programming,Stable
KGL1493,Engineering,3.45,81,90,85.9,82.4,Semester 2,Machine Learning,Scholarship
KGL1494,Engineering,2.48,54,68,59.1,54.2,Semester 1,Database Systems,Stable
KGL1495,Engineering,2.64,68,66,65.2,61.2,Semester 2,Machine Learning,Scholarship
KGL1496,Engineering,2.05,54,52,55.5,50.1,Semester 1,Mathematics & Statistics,Stable
KGL1497,Engineering,2.84,59,76,62.2,83.4,Semester 2,Machine Learning,Scholarship
KGL1498,Engineering,2.71,66,68,68.4,71.6,Semester 1,Introduction to Programming,Under Review
KGL1499,Engineering,2.92,76,72,73.9,75.0,Semester 2,Machine Learning,Under Review
KGL1500,Engineering,3.13,74,82,72.5,75.0,Semester 1,Mathematics & Statistics,Stable
KGL1501,Engineering,3.64,94,92,97.6,89.1,Semester 2,Data Structures,Stable
KGL1502,Engineering,2.37,63,54,57.8,64.7,Semester 1,Introduction to Programming,Stable
KGL1503,Engineering,3.68,95,92,92.7,96.0,Semester 2,Web Development,Scholarship
KGL1504,Engineering,2.04,40,54,53.8,54.9,Semester 1,Mathematics & Statistics,Stable
KGL1505,Engineering,3.25,82,80,86.9,77.3,Semester 2,Web Development,Stable
KGL1506,Engineering,2.72,68,66,66.7,68.1,Semester 1,Introduction to Programming,Scholarship
KGL1507,Engineering,2.24,55,54,58.8,58.6,Semester 2,Machine Learning,Stable
KGL1508,Engineering,3.12,79,77,77.6,83.3,Semester 1,Database Systems,Stable
KGL1509,Engineering,3.53,86,87,82.6,86.0,Semester 2,Web Development,Stable
KGL1510,Engineering,2.93,76,73,71.5,64.3,Semester 1,Introduction to Programming,Scholarship
KGL1511,Engineering,2.09,64,43,46.9,52.5,Semester 2,Data Structures,Stable
KGL1512,Engineering,2.17,62,52,56.6,54.6,Semester 1,Introduction to Programming,Stable
KGL1513,Engineering,2.36,54,62,49.0,58.3,Semester 2,Machine Learning,Scholarship
KGL1514,Engineering,3.57,77,94,93.1,97.4,Semester 1,Introduction to Programming,Stable
KGL1515,Engineering,3.31,76,85,85.9,83.1,Semester 2,Data Structures,Stable
KGL1516,Engineering,3.29,74,84,79.2,81.7,Semester 1,Introduction to Programming,Stable
KGL1517,Engineering,2.84,66,73,73.0,79.4,Semester 2,Data Structures,Scholarship
KGL1518,Engineering,2.96,66,78,79.7,86.2,Semester 1,Database Systems,Stable
KGL1519,Engineering,2.99,67,79,76.4,78.6,Semester 2,Machine Learning,Stable
KGL1520,Engineering,2.29,71,52,62.0,50.2,Semester 1,Introduction to Programming,Stable
KGL1521,Engineering,3.48,91,84,85.5,84.5,Semester 2,Machine Learning,Stable
KGL1522,Engineering,2.45,69,57,57.2,47.1,Semester 1,Introduction to Programming,Stable
KGL1523,Engineering,2.17,54,50,54.9,66.9,Semester 2,Machine Learning,Stable
KGL1524,Engineering,2.05,53,49,54.5,51.2,Semester 1,Database Systems,Stable
KGL1525,Engineering,2.49,68,59,67.4,53.1,Semester 2,Machine Learning,Stable
KGL1526,Engineering,2.36,56,60,69.2,57.6,Semester 1,Introduction to Programming,Stable
KGL1527,Engineering,1.76,36,43,47.4,52.8,Semester 2,Data Structures,Stable
KGL1528,Engineering,1.56,29,47,40.0,46.6,Semester 1,Database Systems,Scholarship
KGL1529,Engineering,2.75,62,70,71.6,75.1,Semester 2,Machine Learning,Stable
KGL1530,Engineering,2.77,68,73,70.0,75.4,Semester 1,Database Systems,Stable
KGL1531,Engineering,2.05,47,53,58.0,56.8,Semester 2,Machine Learning,Stable
KGL1532,Engineering,2.41,62,58,58.9,55.8,Semester 1,Introduction to Programming,Stable
KGL1533,Engineering,3.48,79,94,93.6,90.4,Semester 2,Data Structures,Stable
KGL1534,Engineering,2.8,73,68,63.3,70.2,Semester 1,Mathematics & Statistics,Stable
KGL1535,Engineering,3.09,66,83,79.3,79.5,Semester 2,Machine Learning,Stable
KGL1536,Engineering,2.25,51,58,54.8,47.5,Semester 1,Mathematics & Statistics,Scholarship
KGL1537,Engineering,2.39,51,62,57.7,57.4,Semester 2,Web Development,Stable
KGL1538,Engineering,2.96,85,71,79.0,63.8,Semester 1,Database Systems,Stable
KGL1539,Engineering,3.67,97,86,92.2,94.4,Semester 2,Web Development,Scholarship
KGL1540,Engineering,2.83,75,68,72.0,65.5,Semester 1,Database Systems,Stable
KGL1541,Engineering,3.21,79,80,78.7,85.8,Semester 2,Web Development,Stable
KGL1542,Engineering,3.16,81,79,81.5,76.6,Semester 1,Database Systems,Stable
KGL1543,Engineering,3.55,82,89,91.8,98.4,Semester 2,Machine Learning,Scholarship
KGL1544,Engineering,2.57,64,66,67.7,56.7,Semester 1,Mathematics & Statistics,Under Review
KGL1545,Engineering,3.21,78,80,78.6,81.6,Semester 2,Machine Learning,Stable
KGL1546,Engineering,3.85,92,97,100.0,95.4,Semester 1,Mathematics & Statistics,Under Review
KGL1547,Engineering,2.71,72,64,69.2,59.8,Semester 2,Data Structures,Stable
KGL1548,Engineering,2.57,62,64,63.6,69.4,Semester 1,Mathematics & Statistics,Stable
KGL1549,Engineering,2.93,79,69,78.0,76.9,Semester 2,Data Structures,Stable
KGL1550,Engineering,2.93,79,65,69.5,79.5,Semester 1,Mathematics & Statistics,Stable
KGL1551,Engineering,3.53,87,88,85.1,96.6,Semester 2,Web Development,Scholarship
KGL1552,Engineering,1.84,40,50,40.0,63.9,Semester 1,Database Systems,Stable
KGL1553,Engineering,2.71,77,64,71.7,60.7,Semester 2,Machine Learning,Under Review
KGL1554,Engineering,1.84,53,40,44.4,50.2,Semester 1,Database Systems,Stable
KGL1555,Engineering,1.39,32,33,40.0,38.2,Semester 2,Web Development,Stable
KGL1556,Engineering,2.75,55,79,65.0,79.8,Semester 1,Mathematics & Statistics,Stable
KGL1557,Engineering,2.59,61,66,64.0,71.1,Semester 2,Machine Learning,Stable
KGL1558,Engineering,2.57,53,70,66.3,70.5,Semester 1,Database Systems,Stable
KGL1559,Engineering,2.68,73,62,57.0,65.4,Semester 2,Data Structures,Stable
KGL1560,Engineering,3.04,74,79,68.4,76.9,Semester 1,Database Systems,Stable
KGL1561,Engineering,2.81,63,74,75.8,69.2,Semester 2,Data Structures,Stable
KGL1562,Engineering,3.71,96,92,100.0,90.0,Semester 1,Database Systems,Scholarship
KGL1563,Engineering,2.97,63,80,73.1,88.8,Semester 2,Web Development,Under Review
KGL1564,Engineering,1.93,48,46,51.4,53.2,Semester 1,Introduction to Programming,Stable
KGL1565,Engineering,1.81,48,45,48.8,37.9,Semester 2,Data Structures,Stable
KGL1566,Engineering,3.89,92,100,95.4,98.8,Semester 1,Introduction to Programming,Under Review
KGL1567,Engineering,2.8,61,78,70.7,64.1,Semester 2,Web Development,Stable
KGL1568,Engineering,2.11,63,47,46.9,59.8,Semester 1,Introduction to Programming,Stable
KGL1569,Engineering,2.71,68,67,59.4,62.5,Semester 2,Web Development,Stable
KGL1570,Engineering,2.88,71,70,65.8,75.6,Semester 1,Mathematics & Statistics,Stable
KGL1571,Engineering,3.72,91,92,88.0,91.4,Semester 2,Machine Learning,Stable
KGL1572,Engineering,2.28,53,56,54.1,55.9,Semester 1,Mathematics & Statistics,Stable
KGL1573,Engineering,2.4,50,64,56.5,73.7,Semester 2,Machine Learning,Stable
KGL1574,Engineering,3.01,74,71,77.6,70.2,Semester 1,Database Systems,Scholarship
KGL1575,Engineering,1.97,40,53,50.4,60.2,Semester 2,Data Structures,Stable
KGL1576,Engineering,2.19,61,52,57.3,53.5,Semester 1,Introduction to Programming,Under Review
KGL1577,Engineering,3.48,81,89,80.7,88.6,Semester 2,Data Structures,Stable
KGL1578,Engineering,2.16,48,58,60.9,53.0,Semester 1,Database Systems,Stable
KGL1579,Engineering,2.43,53,68,60.9,48.3,Semester 2,Machine Learning,Scholarship
KGL1580,Engineering,3.65,81,96,91.4,100.0,Semester 1,Database Systems,Under Review
KGL1581,Engineering,3.15,77,80,79.3,74.0,Semester 2,Machine Learning,Under Review
KGL1582,Engineering,2.85,63,78,67.9,72.8,Semester 1,Database Systems,Stable
KGL1583,Engineering,3.04,73,80,84.2,86.0,Semester 2,Machine Learning,Under Review
KGL1584,Engineering,2.97,69,77,73.8,76.5,Semester 1,Introduction to Programming,Scholarship
KGL1585,Engineering,2.89,65,76,66.6,85.9,Semester 2,Machine Learning,Stable
KGL1586,Engineering,2.68,55,73,71.5,76.4,Semester 1,Database Systems,Stable
KGL1587,Engineering,2.25,44,62,64.0,65.3,Semester 2,Web Development,Stable
KGL1588,Engineering,2.44,54,65,71.9,65.1,Semester 1,Introduction to Programming,Stable
KGL1589,Engineering,2.39,48,65,56.3,67.3,Semester 2,Web Development,Scholarship
KGL1590,Engineering,2.25,58,54,56.8,53.8,Semester 1,Database Systems,Stable
KGL1591,Engineering,2.44,71,50,62.0,62.5,Semester 2,Web Development,Under Review
KGL1592,Engineering,2.67,68,64,67.0,66.9,Semester 1,Mathematics & Statistics,Stable
KGL1593,Engineering,2.97,74,73,75.2,70.0,Semester 2,Web Development,Scholarship
KGL1594,Engineering,3.88,92,99,99.9,100.0,Semester 1,Mathematics & Statistics,Stable
KGL1595,Engineering,2.76,56,72,65.9,81.9,Semester 2,Web Development,Stable
KGL1596,Engineering,0.92,30,15,40.0,30.0,Semester 1,Mathematics & Statistics,Scholarship
KGL1597,Engineering,2.07,53,48,56.8,62.2,Semester 2,Machine Learning,Stable
KGL1598,Engineering,2.92,69,73,80.0,71.4,Semester 1,Introduction to Programming,Stable
KGL1599,Engineering,3.04,65,81,75.8,82.6,Semester 2,Machine Learning,Under Review
KGL1600,Engineering,2.36,54,63,66.5,57.9,Semester 1,Database Systems,Scholarship
KGL1601,Engineering,1.17,29,30,40.0,30.0,Semester 2,Web Development,Scholarship
KGL1602,Engineering,3.12,76,80,81.5,70.7,Semester 1,Introduction to Programming,Stable
KGL1603,Engineering,2.24,60,51,52.8,60.0,Semester 2,Data Structures,Stable
KGL1604,Engineering,3.51,84,90,88.8,86.7,Semester 1,Database Systems,Stable
KGL1605,Engineering,2.79,75,62,80.7,76.5,Semester 2,Machine Learning,Scholarship
KGL1606,Engineering,3.35,85,82,82.6,80.8,Semester 1,Database Systems,Stable
KGL1607,Engineering,2.03,40,54,46.8,57.4,Semester 2,Web Development,Stable
KGL1608,Engineering,2.49,61,62,61.5,61.1,Semester 1,Mathematics & Statistics,Stable
KGL1609,Engineering,2.48,58,65,63.6,59.0,Semester 2,Data Structures,Stable
KGL1610,Engineering,2.56,69,63,65.1,65.7,Semester 1,Mathematics & Statistics,Stable
KGL1611,Engineering,2.44,58,66,59.3,56.3,Semester 2,Web Development,Stable
KGL1612,Engineering,3.67,94,91,91.0,93.5,Semester 1,Database Systems,Stable
KGL1613,Engineering,2.88,65,74,77.3,81.7,Semester 2,Data Structures,Scholarship
KGL1614,Engineering,3.57,82,93,90.5,87.5,Semester 1,Introduction to Programming,Stable
KGL1615,Engineering,2.67,60,72,73.3,64.0,Semester 2,Machine Learning,Stable
KGL1616,Engineering,1.6,37,38,45.4,48.9,Semester 1,Database Systems,Stable
KGL1617,Engineering,3.32,88,83,84.6,77.3,Semester 2,Data Structures,Stable
KGL1618,Engineering,3.47,95,84,88.7,83.6,Semester 1,Introduction to Programming,Stable
KGL1619,Engineering,2.75,65,68,63.2,75.7,Semester 2,Web Development,Stable
